year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2006,Illinois,IL,East North Central,North Central,12831970,6315239,6516731,35.7,bachelor's degree or higher,2405764,52006,NA,1539033,373776,0.462,NA,NA,NA,NA,NA,5199743,200200,761,1965,2.716,0.9085549035788885,0.3011873625708366,0.6988126374291634,0.44185202999455936,utility gas,0.8145873674816669,0.12515822610648203,0.0027483715940639915
2006,Indiana,IN,East North Central,North Central,6313520,3104461,3209059,36.3,high school graduate (includes equivalency),891489,45394,NA,777712,204924,0.432,NA,NA,NA,NA,NA,2756583,120700,638,1970,2.593,0.8834393885473428,0.27879655430969985,0.7212034456903001,0.448806003664682,utility gas,0.6349285542407138,0.23586216581789154,0.002499513401777377
2006,Iowa,IA,West North Central,North Central,2982085,1470463,1511622,37.8,high school graduate (includes equivalency),468922,44491,NA,316122,89273,0.424,NA,NA,NA,NA,NA,1319980,112600,584,1963,2.467,0.9157449355293262,0.26704611731808914,0.7329538826819109,0.42530341368808616,utility gas,0.6680942945899327,0.14638411932840545,0.003081657725033402
2006,Kansas,KS,West North Central,North Central,2764075,1371613,1392462,36.3,high school graduate (includes equivalency),505861,45478,NA,330976,70750,0.441,NA,NA,NA,NA,NA,1207391,114400,609,1969,2.54,0.9013550705612349,0.30071635449439854,0.6992836455056014,0.4100138231939778,utility gas,0.713233996883178,0.17517881296127497,8.481210855949896e-4
2006,Kentucky,KY,East South Central,South,4206074,2058789,2147285,37.3,high school graduate (includes equivalency),562395,39372,NA,693479,209327,0.46,NA,NA,NA,NA,NA,1888336,111000,548,1975,2.546,0.8747971759263182,0.29349644139423975,0.7065035586057602,0.3853159607188551,electricity,0.42599631578214564,0.4373728366721936,0.0017585693175964081
2006,Louisiana,LA,West South Central,South,4287768,2078914,2208854,35.6,high school graduate (includes equivalency),554063,39337,NA,793223,367263,0.475,NA,NA,NA,NA,NA,1829933,114700,618,1976,2.74,0.8552105459598794,0.3152191276810281,0.6847808723189719,0.3300470563676375,electricity,0.39966248726819165,0.5435124327626331,0.0025105784234666557
2006,Maine,ME,New England,Northeast,1321574,645154,676420,41,high school graduate (includes equivalency),238221,43439,NA,165956,67317,0.428,NA,NA,NA,NA,NA,691164,170500,636,1970,2.411,0.7932227372953452,0.27208721616351755,0.7279127838364825,0.3760699341979617,"fuel oil, kerosene, etc.",0.03436042513684526,0.0526222669709091,8.518058466348197e-4
2006,Maryland,MD,South Atlantic,South,5615727,2715872,2899855,37.3,bachelor's degree or higher,1303097,65144,NA,428345,101102,0.433,NA,NA,NA,NA,NA,2300749,334700,953,1974,2.688,0.9079786626007443,0.3057015429641781,0.6942984570358218,0.48522546353383184,utility gas,0.45191478728654577,0.36397832296409194,0.003039686821306146
2006,Massachusetts,MA,New England,Northeast,6437193,3116536,3320657,38.3,bachelor's degree or higher,1608748,59963,NA,620188,158348,0.461,NA,NA,NA,NA,NA,2709208,370400,933,1956,2.631,0.9030259027730614,0.35075874162318593,0.6492412583768141,0.4225515353564584,utility gas,0.46742734985090856,0.12649086342242033,0.0023376395113806135
2006,Michigan,MI,East North Central,North Central,10095643,4968640,5127003,37.3,high school graduate (includes equivalency),1625462,47182,NA,1331833,377514,0.444,NA,NA,NA,NA,NA,4513502,153300,675,1968,2.609,0.8572317016808677,0.24833676521025339,0.7516632347897466,0.44500855433319847,utility gas,0.7840517616810244,0.0647072704185477,0.002409335256597306
