year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2012,Michigan,541982,59119,54666,114288,21187,31660,29046,42335,115451,21237,52993
2012,Minnesota,210704,24989,20447,44924,7399,12627,11751,18408,42270,9183,18706
2012,Mississippi,192794,17617,18817,40427,8970,10329,9333,14062,42787,11030,19422
2012,Missouri,329552,34613,32970,69498,13962,17403,15472,25932,73100,13901,32701
2012,Montana,39667,3773,3345,8113,2358,2665,2383,2703,9647,1190,3490
2012,Nebraska,68571,7960,7294,13968,2329,4718,4524,5054,12888,2201,7635
2012,Nevada,109858,11227,10537,19117,5059,6167,6630,7996,26401,5360,11364
2012,New Hampshire,59978,7588,7067,11714,1717,2467,4091,5070,11025,2633,6606
2012,New Jersey,319417,35535,31297,55442,12752,23192,14496,22419,61411,15189,47684
2012,New Mexico,125448,11097,10908,27934,6362,9000,5336,8627,26072,5792,14320
2012,New York,762859,73531,77620,139659,30837,54020,35965,58629,145045,39598,107955
2012,North Carolina,467767,49543,45229,96369,21517,25126,24737,33087,93831,23197,55131
2012,North Dakota,23848,2149,2850,5315,710,1722,1030,2484,3769,932,2887
2012,Ohio,601729,63326,63960,122870,22120,30989,33841,50144,131928,24066,58485
2012,Oklahoma,204656,20073,19996,41898,8742,12952,9436,16480,45169,9806,20104
2012,Oregon,213214,20794,18834,44337,8437,14244,8238,17942,43580,11631,25177
2012,Pennsylvania,656093,70756,66929,127631,23247,40067,35211,53947,136883,27207,74215
2012,Rhode Island,49760,4368,5948,9933,1191,3001,1866,4175,11832,2072,5374
2012,South Carolina,243778,20846,21586,51338,12624,14376,9422,16850,54259,15314,27163
2012,South Dakota,34056,3557,3646,6524,1503,2802,1647,3403,6752,1253,2969
2012,Tennessee,382812,32116,33210,82157,18271,21314,16040,26883,90670,18079,44072
2012,Texas,1108095,134377,107885,204810,52250,68087,66969,82610,216806,53767,120534
2012,Utah,105784,11968,13556,18822,3196,6637,8506,11328,19406,3525,8840
2012,Vermont,33435,3454,4761,6245,1281,1422,1823,2974,7606,1082,2787
2012,Virginia,327119,31456,33770,58868,14446,21125,17226,26015,68224,15285,40704
2012,Washington,311478,25164,33425,67355,12018,19254,12417,26162,68985,13636,33062
2012,West Virginia,136938,10154,11049,31767,7608,7258,5344,11240,30109,7521,14888
2012,Wisconsin,240060,27594,25494,49419,8036,14187,12753,21235,47873,9275,24194
2012,Wyoming,22842,2704,2946,4705,834,1951,848,1352,4939,794,1769
2013,Alabama,272517,22735,24042,54736,12334,14841,12383,21415,62265,14780,32986
2013,Alaska,29488,2060,3279,5975,1075,2183,2064,3103,6100,1069,2580
2013,Arizona,275537,24568,26378,54004,14371,19779,10556,25004,54695,15423,30759
2013,Arkansas,183731,20410,17835,36106,9299,9610,9752,14071,37652,9307,19689
2013,California,1535203,133152,153661,279343,71586,121663,68439,105604,300234,82070,219451
2013,Colorado,196527,17775,22701,40275,8614,12044,9198,16650,42123,8314,18833
2013,Connecticut,136975,14385,14119,24780,4866,10076,7328,10919,27177,4975,18350
2013,Delaware,44875,4616,4800,6717,2008,2886,2548,3651,10592,1926,5131
2013,Florida,924502,84882,82731,170770,47606,81492,39988,56246,172749,48105,139933
2013,Georgia,454609,45124,41333,89413,21519,23231,23743,36502,97395,24958,51391
2013,Hawaii,60590,4147,5855,9362,4584,6665,2099,3215,8425,3213,13025
2013,Idaho,80689,9206,8987,16419,3665,5207,3744,7147,15357,3581,7376
2013,Illinois,482509,44387,55834,93040,20814,35568,23433,34978,93676,22579,58200
2013,Indiana,333855,37159,32850,66379,13311,17006,20110,27697,70835,13639,34869
2013,Iowa,128309,14958,14392,25285,4469,7983,6749,12238,25934,4886,11415
2013,Kansas,129363,15268,13516,24106,4585,7557,7576,11704,24182,5179,15690
2013,Kentucky,286237,28959,29103,59851,13487,13337,12646,24089,67336,13776,23653
2013,Louisiana,268976,33114,28798,49284,13896,13923,15616,19956,53077,13956,27356
2013,Maine,90234,8395,11234,18088,3276,4868,4374,7954,21607,2473,7965
2013,Maryland,229205,24031,26903,42147,8925,13644,11741,17700,44474,10478,29162
2013,Massachusetts,316681,35846,33387,61522,10989,17642,15844,24687,64990,13961,37813
2013,Michigan,551515,58701,62829,115115,20304,30527,27570,44573,112495,23045,56356
2013,Minnesota,220623,24009,26373,44395,9404,11768,11276,21085,43746,7506,21061
2013,Mississippi,184591,15359,17808,38517,9552,11951,7555,11187,42229,10367,20066
2013,Missouri,329800,32103,33686,71063,14421,17941,15871,28394,71096,14080,31145
2013,Montana,49096,4009,5875,9339,1854,3943,1985,3762,11751,1530,5048
2013,Nebraska,68988,7819,6603,12561,3292,5324,4132,4959,14299,2538,7461
2013,Nevada,120467,11139,12315,21423,5764,7246,5702,8905,28483,7439,12051
2013,New Hampshire,60500,6962,6278,11856,2369,3227,3510,4950,12984,2973,5391
2013,New Jersey,325817,36984,31483,57141,11943,23938,14440,21443,63056,16490,48899
2013,New Mexico,115572,8586,11479,25804,6191,7499,3501,8307,24025,7131,13049
2013,New York,788285,76886,82367,147091,35516,53097,36051,59216,151640,39998,106423
2013,North Carolina,512905,53515,54339,96708,27611,29287,25994,36462,106177,24789,58023
2013,North Dakota,26714,2656,2988,5215,948,1831,1142,2751,5481,929,2773
2013,Ohio,608680,61597,64779,128471,24021,34987,32584,47553,128031,25259,61398
2013,Oklahoma,206768,20789,21408,42186,9567,13396,10158,16004,42710,10787,19763
2013,Oregon,233384,17464,24738,46511,10140,14099,8684,20975,53019,11853,25901
2013,Pennsylvania,654690,71256,63308,128431,23381,40747,36090,56214,136620,24294,74349
2013,Rhode Island,50735,5630,5105,8588,1142,3168,2612,5292,10402,2384,6412
2013,South Carolina,250050,22695,24472,53727,14759,13207,10772,18756,50858,11481,29323
2013,South Dakota,36919,4192,4346,6977,1642,2505,1901,3405,7153,1058,3740
2013,Tennessee,380653,30413,32236,80870,18075,19227,17267,28457,92655,19095,42358
2013,Texas,1113702,139419,113019,203497,48235,65811,62840,88033,218344,55255,119249
2013,Utah,109243,13802,15017,19544,3585,6486,7016,10845,19522,4065,9361
2013,Vermont,36880,3102,4321,7739,1793,1907,1662,3597,7510,1327,3922
2013,Virginia,345379,31091,35273,63992,15450,21622,16880,28410,69679,19300,43682
2013,Washington,354866,31961,43151,71018,15979,21061,16684,29915,70496,17018,37583
2013,West Virginia,136576,11575,13205,31225,7808,7579,5667,9905,30964,6473,12175
2013,Wisconsin,252151,28538,30296,49251,10087,13872,15177,23545,48591,10698,22096
2013,Wyoming,21759,3057,2870,4059,560,1023,1290,1974,3530,769,2627
2014,Alabama,296880,23865,29367,60572,16905,17051,13730,24128,62274,16412,32576
2014,Alaska,27642,3600,3667,4628,1222,1337,1246,2168,5524,1269,2981
2014,Arizona,314312,34715,32380,52485,16488,23152,12657,23207,66648,16819,35761
2014,Arkansas,179157,19412,16662,33121,10143,9377,7908,15017,39670,9937,17910
2014,California,1561546,130286,169940,280853,77118,116928,67940,114501,299365,83308,221307
2014,Colorado,202806,18795,26091,40932,8778,12458,9307,15658,40259,9018,21510
2014,Connecticut,146860,13687,15962,27661,6929,9461,5301,14046,29726,7316,16771
