year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2012,Arkansas,603125,67628,114565,14761,15529,13732,17168,18314,13277,8973,63028,105758,21496,25010,19100,20328,20434,21985,22039
2012,California,7491378,706949,1197144,241374,228776,236955,251360,214661,172510,171351,670128,1140723,350485,417402,351076,302922,285211,261739,290612
2012,Colorado,740982,75618,115394,20214,23314,23800,26190,23033,14162,11669,73906,116277,34871,47309,34023,30277,27571,20943,22411
2012,Connecticut,601437,44672,83549,20951,24971,26690,26553,16258,12986,12066,43786,80132,29945,45998,37386,31879,18597,20369,24649
2012,Delaware,181179,13402,26110,7044,6721,7127,7064,5891,2943,2833,14258,24885,10486,14060,10707,9422,7683,4772,5771
2012,Florida,3299577,330111,502796,89377,90814,90733,102960,110120,105463,92082,314736,484180,126523,179210,130840,126324,125980,140680,156648
2012,Georgia,1675523,200641,305306,38410,35884,34459,37905,44464,39992,25594,192714,289136,71980,74086,55634,52770,56911,59873,59764
2012,Hawaii,223363,18716,29786,8988,8749,8412,9596,8748,5266,4533,18855,28288,11330,17222,10711,8822,8859,7402,9080
2012,Idaho,247824,28640,42518,7518,9644,5647,5442,6266,4979,3862,30462,46147,8098,14059,8206,5862,6423,6836,7215
2012,Illinois,2274387,231693,396435,54426,61227,63230,63526,48756,40150,32359,227583,379091,111279,166908,124171,82218,62105,62265,66965
2012,Indiana,987795,107717,162476,25000,30550,26187,33111,26329,20559,14394,106360,159277,45866,59424,41402,37781,35967,28443,26952
2012,Iowa,482696,43833,72939,15108,17654,12605,18166,15549,10971,10680,46179,69865,24494,29401,20084,21290,17836,15620,20422
2012,Kansas,370656,47079,64254,9775,9049,7445,9912,11267,7459,7781,46003,63311,14991,15869,9563,11055,11510,10313,14020
2012,Kentucky,800940,76535,122717,22534,20375,22143,30141,29460,23267,13866,76350,125820,32525,43835,33691,33933,37366,31113,25269
2012,Louisiana,992829,104439,179010,25680,21840,20167,27903,28449,18513,14049,103759,172087,50109,51799,36009,34145,39405,32346,33120
2012,Maine,310660,20761,38314,9671,17182,14437,14193,13376,8719,6495,20398,35363,14065,25042,20122,16247,12252,11651,12372
2012,Maryland,874695,87780,127812,27390,30346,25966,27209,25135,18626,14384,81399,122878,45165,65050,45812,40403,30523,27962,30855
2012,Massachusetts,1413336,83535,154338,60096,78512,68238,77346,66361,32699,29187,74796,137681,68225,111267,93972,96000,79816,46905,54362
2012,Michigan,1917637,168915,294641,63919,68228,67242,73359,64702,40206,29925,159529,285611,101256,129649,99446,86265,73730,57171,53843
2012,Minnesota,773412,63924,105960,27737,36960,35311,34079,25190,14648,13667,62336,92772,39955,62219,42916,41440,29437,19486,25375
2012,Mississippi,708038,73452,118479,17085,17326,17864,17239,24777,16435,9667,71513,117551,35914,35738,28349,24653,27588,26916,27492
2012,Missouri,914151,98329,151640,18637,26615,27123,33091,27065,19021,14775,93453,139562,41134,53701,37323,40453,34791,29037,28401
2012,Montana,147053,14833,26527,3836,3951,2788,4202,4399,4264,2984,14254,27005,5243,6251,3915,6573,6341,4588,5099
2012,Nebraska,238549,28887,39579,5306,6974,5517,7052,7641,4932,4519,27917,37939,10705,12373,7930,9114,6738,6085,9341
2012,Nevada,341554,39100,56006,7313,10421,7480,9776,9591,9871,7782,40186,55362,9868,19473,13485,13038,11741,11590,9471
2012,New Hampshire,151644,14410,27478,3266,5134,4759,5612,4088,3159,2927,14049,25568,5559,7785,5575,5310,5371,5296,6298
2012,New Jersey,1240399,116414,181893,36431,36495,41342,44231,36189,29648,29148,108839,179541,51243,77808,64181,59275,44992,45519,57210
2012,New Mexico,483051,51632,84165,13463,15421,11642,16230,13619,8835,7240,50323,79149,21687,29525,20379,17087,17274,11690,13690
2012,New York,4348454,320153,549833,197146,183856,171892,200263,158662,95550,78739,305548,512926,240055,304757,256988,244666,200381,149077,177962
2012,North Carolina,1706109,186177,291503,51389,35654,40113,46540,51270,35029,25393,182627,282862,83531,84912,71442,60077,60346,55027,62217
2012,North Dakota,63849,6697,9380,1931,1291,1657,1789,1436,2512,2286,5526,8811,4327,3618,2498,1740,1228,3341,3781
2012,Ohio,1980816,192448,306054,54368,69962,67756,61992,53735,36052,28339,185218,294762,113871,156095,109257,77519,63349,54674,55365
2012,Oklahoma,641791,78074,120543,15610,15471,14429,14510,15196,13408,10328,76843,110435,29192,32438,19431,18358,18580,19267,19678
2012,Oregon,672232,67486,106233,20778,23004,21096,23543,21944,14131,13472,66201,92411,28655,44552,29143,27362,23835,24125,24261
2012,Pennsylvania,2137234,180755,318964,77175,72286,66597,84524,74504,46441,44504,168173,302182,115965,138355,100094,102712,87164,73440,83399
2012,Rhode Island,181849,13334,24281,7152,5814,6691,8194,6656,5599,4358,11599,24459,8174,12957,9716,10257,9321,6175,7112
2012,South Carolina,839733,92290,138603,18063,20975,20706,23289,26534,22333,13410,82861,134545,41338,45819,35749,32722,32076,30595,27825
2012,South Dakota,115765,13471,18927,3142,3528,3240,2720,2372,2903,3205,15031,17998,5274,6858,3918,3557,2993,3218,3410
2012,Tennessee,1194899,111779,181623,38931,30328,36850,38352,35907,27885,17413,110876,176468,65821,82491,61239,49395,49057,40959,39525
2012,Texas,4556421,581479,868907,101772,87390,85689,111413,112763,94811,76774,558986,844895,169329,174975,129385,136211,142487,135967,143188
2012,Utah,319643,39903,51888,7538,11122,9973,9085,9436,6431,5512,38186,50583,11270,21070,12696,10482,8808,7677,7983
2012,Vermont,147972,10190,19917,4749,8016,6676,8025,6828,2891,2450,8986,17692,6936,10596,7657,9740,7623,3961,5039
2012,Virginia,865281,96320,149257,21074,20519,17544,23862,21714,22349,15128,91164,135563,39829,49797,34666,30287,27214,34034,34960
2012,Washington,1070674,116050,181590,30017,28541,29455,35543,30303,26129,19932,105507,170798,43799,59045,42927,38842,41102,35752,35342
2012,West Virginia,336931,29799,51225,7305,9949,11768,13532,14681,8112,6709,29247,51554,12740,17952,14216,16754,18226,11908,11254
2012,Wisconsin,974576,84350,137910,25844,41537,36721,38842,31194,20670,18379,82912,129596,47459,81926,55339,43725,37181,26262,34729
