year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2012,North Dakota,104367,52,50,301,448,1344,1574,3377,22940,18334,40,0,333,281,273,1308,2343,25217,26152
2012,Ohio,1899646,3433,6452,4639,11285,18238,40046,69310,406963,282493,3603,4943,3577,12478,20235,39201,71466,469215,432069
2012,Oklahoma,620791,2203,3240,1652,3768,6317,12393,26961,134473,87443,1968,3212,1516,3280,6864,15022,29712,154407,126360
2012,Oregon,645481,163,867,1215,2640,4212,10181,23952,150017,99812,306,574,554,2081,4409,9750,25472,166669,142607
2012,Pennsylvania,2223237,2214,5566,4390,11540,17296,42434,70662,459004,353787,2147,4391,4114,12060,21494,45722,78545,540465,547406
2012,Rhode Island,177073,113,542,520,806,1841,4214,6578,35578,26608,302,243,525,1040,1397,4159,8685,40916,43006
2012,South Carolina,815678,827,2735,894,4663,9469,20643,36662,184469,103808,764,2498,1380,2962,6945,21681,44088,214474,156716
2012,South Dakota,131331,299,484,573,1069,942,2406,4225,29368,21945,184,199,238,540,1275,2017,4345,30430,30792
2012,Tennessee,1088779,1702,2967,2568,5377,12209,28090,50212,239463,140252,1672,3992,2300,5581,16478,29644,54091,274650,217531
2012,Texas,3130939,4940,10605,7578,17865,31909,62654,116703,709885,447011,4131,10143,6832,16827,30019,67342,125211,809703,651581
2012,Utah,300580,834,423,432,2306,2771,4444,9648,69209,49245,488,935,605,1910,2432,5437,9647,76532,63282
2012,Vermont,112876,143,218,334,1581,1005,3264,4251,26016,16394,51,197,133,417,1208,2649,4169,27623,23223
2012,Virginia,1178866,3737,3555,2369,6505,11186,22320,40670,267368,163973,3563,4890,1920,6434,12500,23038,43357,309892,251589
2012,Washington,1009592,1404,2214,2378,4762,10350,18322,33236,235370,150975,622,4118,2343,7875,9721,18183,38764,256201,212754
2012,West Virginia,378606,185,860,464,2125,4280,11397,24141,82091,51100,107,536,771,2117,4927,9179,19518,88718,76090
2012,Wisconsin,909400,1889,3472,2642,5693,7129,17584,28689,198448,144577,1839,1702,2134,4072,9260,17482,29116,221784,211888
2012,Wyoming,84030,397,313,15,406,458,1220,3203,20581,13086,98,363,112,166,572,1672,3732,21123,16513
2013,Alabama,885836,1576,3921,2957,4397,12581,25194,43929,183093,111032,2457,4771,2688,5212,12134,29046,51055,217581,172212
2013,Alaska,70726,227,51,62,393,934,1379,2844,20006,9705,44,340,32,385,451,744,2555,19005,11569
2013,Arizona,1110875,649,2939,1630,4191,6570,16880,33777,260245,184603,1231,2551,2706,4850,7636,16281,37011,297221,229904
2013,Arkansas,554929,1521,1502,1053,4075,8320,14577,32381,115742,74960,376,1457,1755,3566,8358,16455,30864,134068,103899
2013,California,5150217,12625,26199,15545,29380,36308,77644,159497,1136406,812196,11790,23155,15722,24914,43227,78294,164304,1319094,1163917
2013,Colorado,705830,1550,2255,1508,4847,5012,10873,24753,171541,102109,1347,3074,781,2875,4414,12883,23823,187131,145054
2013,Connecticut,574408,377,2500,1103,2932,2714,10049,17968,123966,91360,592,860,1022,3021,3963,11819,17231,144492,138439
2013,Delaware,167490,269,296,649,634,1981,3525,6073,37690,23795,539,863,820,1277,1592,3463,6831,44031,33162
2013,Florida,3922889,4865,8854,7212,16217,28947,60597,120600,865728,675197,3495,8792,5459,16659,21328,62949,129031,991696,895263
